,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Libya,Wheat,3790.0,4520.0,2915.0,3747.0,4488.0,2384.0,3730.0,4167.0,5165.0,5707.0,7769.0,8457.0,7145.0,7450.0,8636.0,8982.0,8339.0,8097.0,12317.0,12381.0,10202.0,8400.0,7742.0,7313.0,7294.0,10090.0,8750.0,7879.0,7784.0,7569.0,7823.0,7622.0,7685.0,7576.0,7879.0,7879.0,7879.0,7895.0,7772.0,7730.0,7856.0,7850.0
Lithuania,Wheat,,,,,,,,,,,,,,,,,,,,,29411.0,23718.0,20348.0,24455.0,26926.0,30016.0,28671.0,26098.0,33413.0,30559.0,36335.0,35783.0,40276.0,37332.0,23554.0,39219.0,42689.0,42004.0,33045.0,33919.0,47829.0,43022.0
Luxembourg,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55769.0,54984.0,59669.0,61364.0,68241.0,60153.0,59694.0,55990.0,66617.0,65677.0,59586.0,55290.0,58665.0,63676.0
Madagascar,Wheat,,,,,14943.0,14907.0,16154.0,17927.0,16150.0,16484.0,15000.0,15000.0,15000.0,15000.0,15425.0,17831.0,16667.0,16667.0,20000.0,22500.0,25000.0,26667.0,20000.0,20000.0,20000.0,25000.0,25000.0,23672.0,23574.0,23810.0,23521.0,23479.0,23449.0,23394.0,23256.0,24444.0,23810.0,23814.0,23923.0,23889.0,23955.0,24022.0
Malawi,Wheat,21375.0,20167.0,20923.0,21167.0,20886.0,20350.0,25000.0,12500.0,12500.0,9556.0,10000.0,3329.0,8303.0,6989.0,8506.0,6610.0,7208.0,6698.0,7735.0,5870.0,4239.0,6306.0,2244.0,6865.0,8619.0,5896.0,7418.0,7877.0,7968.0,8989.0,5588.0,7510.0,7537.0,8707.0,12071.0,22968.0,16133.0,15006.0,15123.0,15214.0,15104.0,14058.0
Mali,Wheat,13333.0,13333.0,13333.0,13333.0,13333.0,13333.0,13333.0,13333.0,13333.0,13333.0,10000.0,10000.0,10000.0,18095.0,6762.0,12370.0,15108.0,13053.0,11991.0,20000.0,13987.0,30909.0,16278.0,21040.0,19658.0,12752.0,24925.0,21696.0,23515.0,25237.0,25687.0,24489.0,25296.0,22001.0,24025.0,25029.0,24409.0,29665.0,25543.0,34378.0,40285.0,39754.0
Malta,Wheat,22893.0,23004.0,18388.0,22026.0,27782.0,34437.0,28062.0,27262.0,34872.0,39104.0,43315.0,39702.0,36496.0,37707.0,38462.0,36923.0,36154.0,37500.0,38341.0,36429.0,34375.0,29000.0,27273.0,26250.0,38182.0,41073.0,39161.0,39576.0,40134.0,40000.0,50000.0,40000.0,41048.0,41579.0,40385.0,42857.0,48333.0,49286.0,48011.0,47687.0,47439.0,47780.0
Mauritania,Wheat,5556.0,5000.0,5000.0,4839.0,5952.0,7500.0,5294.0,5000.0,5250.0,6667.0,6889.0,6957.0,10000.0,10000.0,10000.0,10196.0,10352.0,10547.0,10769.0,12000.0,12340.0,10000.0,12169.0,12893.0,13188.0,10000.0,14165.0,15088.0,15464.0,16005.0,16731.0,16667.0,24906.0,20000.0,21026.0,20000.0,20000.0,19780.0,20820.0,16018.0,21278.0,21172.0
Mexico,Wheat,26345.0,32646.0,36022.0,35956.0,37615.0,34644.0,36663.0,39138.0,38476.0,37141.0,43563.0,40410.0,43577.0,42843.0,39671.0,44686.0,40154.0,38235.0,42143.0,41272.0,39530.0,40821.0,43034.0,37320.0,41706.0,47347.0,42077.0,46310.0,49355.0,47661.0,50999.0,44912.0,44871.0,47517.0,52274.0,50824.0,50134.0,49688.0,54185.0,54778.0,56568.0,52934.0
Mongolia,Wheat,5404.0,11062.0,8203.0,11573.0,8642.0,9060.0,6723.0,5674.0,5632.0,7213.0,10211.0,14579.0,9992.0,14282.0,14203.0,11615.0,13709.0,13009.0,11187.0,10145.0,8611.0,9038.0,7495.0,7366.0,6628.0,7614.0,6371.0,6104.0,7768.0,7200.0,5898.0,7914.0,8072.0,4775.0,10830.0,9392.0,13987.0,15593.0,13805.0,14961.0,15650.0,13369.0
Montenegro,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30903.0,24026.0,35016.0,35981.0,34029.0,32024.0,27984.0,34357.0
Morocco,Wheat,10813.0,7718.0,9666.0,9312.0,11391.0,6345.0,10701.0,10843.0,10562.0,5416.0,12952.0,9971.0,10720.0,12450.0,17138.0,10608.0,17352.0,14934.0,13290.0,18699.0,7011.0,6808.0,18111.0,5543.0,18415.0,9292.0,14184.0,8004.0,4758.0,12280.0,12793.0,17220.0,18082.0,10261.0,20365.0,6154.0,13189.0,21398.0,17095.0,19488.0,12342.0,21640.0
Mozambique,Wheat,10000.0,13333.0,10000.0,10000.0,6000.0,4000.0,6000.0,6308.0,10000.0,18182.0,16000.0,15000.0,15000.0,12500.0,12500.0,7500.0,12500.0,12500.0,18001.0,15000.0,11111.0,11613.0,11464.0,11401.0,11356.0,11328.0,11337.0,11372.0,10000.0,10000.0,10385.0,11875.0,10870.0,11071.0,12353.0,11765.0,12500.0,12500.0,13367.0,17042.0,9958.0,10951.0
Myanmar,Wheat,5499.0,5479.0,4555.0,7452.0,6526.0,8783.0,10256.0,5037.0,11064.0,11100.0,13341.0,12630.0,15942.0,17431.0,17130.0,17300.0,13097.0,10737.0,9544.0,9579.0,9389.0,9334.0,8209.0,8424.0,9463.0,10328.0,9592.0,10959.0,11494.0,11902.0,12679.0,12870.0,13935.0,13934.0,15262.0,15792.0,17117.0,17297.0,17819.0,17779.0,17840.0,18078.0
Namibia,Wheat,17500.0,17500.0,20000.0,20000.0,20000.0,20000.0,20000.0,25000.0,25000.0,28571.0,31250.0,30000.0,29167.0,26667.0,29610.0,27556.0,26337.0,48667.0,44250.0,59000.0,51933.0,43846.0,52500.0,55172.0,43846.0,46361.0,49336.0,36440.0,50983.0,60464.0,63724.0,62509.0,41622.0,45255.0,59308.0,51342.0,61420.0,67214.0,60942.0,61219.0,61697.0,62155.0
Nepal,Wheat,9332.0,12045.0,11258.0,11375.0,11778.0,10390.0,11199.0,11658.0,11993.0,12180.0,13152.0,13572.0,13433.0,11811.0,12386.0,13091.0,12478.0,13851.0,14149.0,14103.0,13338.0,12460.0,14704.0,14416.0,15500.0,16072.0,15463.0,16955.0,17931.0,18063.0,18859.0,20092.0,20873.0,21344.0,20745.0,21563.0,22252.0,19338.0,21289.0,22747.0,24123.0,22902.0
Netherlands,Wheat,43111.0,52552.0,57334.0,49358.0,54374.0,52304.0,65665.0,59382.0,62021.0,67008.0,73896.0,70368.0,78854.0,66451.0,79980.0,69359.0,72273.0,75977.0,76528.0,76608.0,80154.0,87712.0,80674.0,86189.0,89612.0,77309.0,76956.0,83311.0,83592.0,79447.0,78145.0,87439.0,89149.0,85932.0,83940.0,72714.0,87295.0,92919.0,89092.0,77812.0,85870.0,87412.0
New Caledonia,Wheat,25000.0,33500.0,32500.0,30000.0,20000.0,20000.0,22222.0,12069.0,10638.0,13978.0,16246.0,8247.0,7327.0,18350.0,18392.0,15000.0,13200.0,11300.0,7317.0,13812.0,20273.0,5333.0,19571.0,19400.0,15369.0,18889.0,19750.0,17500.0,0.0,18500.0,0.0,19000.0,17686.0,40000.0,0.0,0.0,,,,0.0,20000.0,41000.0
New Zealand,Wheat,36461.0,34922.0,31830.0,31198.0,37418.0,36788.0,36134.0,33851.0,35574.0,40092.0,40843.0,42431.0,45800.0,43093.0,41564.0,40599.0,40701.0,35679.0,48842.0,48149.0,50543.0,53698.0,54145.0,46823.0,54738.0,56607.0,62160.0,60610.0,62095.0,74286.0,71467.0,74863.0,65501.0,80920.0,68963.0,84966.0,81120.0,74918.0,81241.0,72858.0,89245.0,91053.0
Niger,Wheat,12847.0,9358.0,10185.0,12857.0,11111.0,15833.0,23039.0,10889.0,10000.0,10000.0,10476.0,11905.0,19106.0,19799.0,19802.0,15000.0,10000.0,11429.0,28889.0,26000.0,28000.0,22000.0,28800.0,34444.0,21250.0,20000.0,22051.0,21115.0,20049.0,18783.0,10606.0,17100.0,17188.0,17443.0,14992.0,14894.0,18251.0,18917.0,19909.0,19770.0,16537.0,30090.0
Nigeria,Wheat,17391.0,14286.0,15000.0,16364.0,18000.0,20000.0,20000.0,22000.0,24000.0,26000.0,26000.0,18571.0,16875.0,20545.0,19701.0,19306.0,12500.0,12000.0,8333.0,12000.0,13333.0,23286.0,23467.0,21800.0,20435.0,26400.0,20000.0,20120.0,14038.0,9808.0,9818.0,10357.0,10690.0,11000.0,11270.0,16923.0,16563.0,16667.0,14844.0,12791.0,10189.0,10000.0
North Macedonia,Wheat,,,,,,,,,,,,,,,,,,,,,26752.0,21352.0,27545.0,29304.0,22922.0,25485.0,29615.0,28026.0,24719.0,21298.0,26473.0,21761.0,35217.0,30811.0,30098.0,24020.0,34101.0,30756.0,30443.0,33458.0,26956.0,31978.0
Norway,Wheat,33524.0,38221.0,43806.0,33124.0,32410.0,37165.0,38915.0,40140.0,41879.0,45652.0,45288.0,42345.0,51033.0,43564.0,40025.0,42946.0,34006.0,36538.0,46634.0,46547.0,35295.0,51096.0,28362.0,47468.0,45258.0,43101.0,46878.0,44533.0,46025.0,40738.0,40994.0,46135.0,47668.0,48925.0,41634.0,43973.0,48653.0,34069.0,45975.0,38517.0,41011.0,38841.0
Oman,Wheat,16667.0,16667.0,16667.0,16667.0,16667.0,8333.0,4583.0,4967.0,5000.0,11887.0,37781.0,37781.0,37781.0,11009.0,10989.0,11015.0,14957.0,19149.0,23800.0,23077.0,23148.0,23636.0,23661.0,23684.0,23793.0,25000.0,25667.0,30000.0,31896.0,31826.0,31648.0,32703.0,30888.0,31919.0,28080.0,30509.0,30571.0,30975.0,41264.0,33064.0,46512.0,36745.0
Pakistan,Wheat,11887.0,12465.0,12480.0,13202.0,14222.0,14310.0,13156.0,14879.0,15680.0,16431.0,15651.0,16781.0,14819.0,16123.0,18806.0,15593.0,17343.0,18655.0,18249.0,18410.0,19910.0,19466.0,18935.0,20811.0,20184.0,20533.0,22376.0,21698.0,24907.0,23254.0,22621.0,23878.0,23733.0,25858.0,25186.0,27156.0,24514.0,26568.0,25528.0,28328.0,27138.0,27957.0
Palestine,Wheat,,,,,,,,,,,,,,,,,,,,,,,11192.0,19150.0,18359.0,15150.0,17438.0,7779.0,24656.0,12122.0,24193.0,20749.0,21164.0,20898.0,18683.0,19670.0,13871.0,13636.0,17892.0,16218.0,19993.0,24032.0
Paraguay,Wheat,5466.0,11330.0,11632.0,7092.0,12087.0,9813.0,12000.0,12394.0,17008.0,12377.0,13157.0,12016.0,12004.0,15998.0,15996.0,20971.0,18992.0,14977.0,16571.0,15636.0,16571.0,22131.0,21494.0,12094.0,24544.0,17862.0,11419.0,9584.0,18101.0,18334.0,17263.0,22000.0,22000.0,21918.0,16986.0,25000.0,20986.0,21000.0,25000.0,25049.0,26010.0,26000.0
Peru,Wheat,8901.0,9011.0,9241.0,9453.0,9520.0,10023.0,10076.0,10606.0,9394.0,10225.0,10597.0,9474.0,10300.0,11388.0,12362.0,12758.0,13228.0,13551.0,10847.0,8553.0,13304.0,14812.0,12420.0,12643.0,12499.0,11150.0,11648.0,12877.0,12797.0,12465.0,13456.0,13779.0,13872.0,13440.0,13360.0,12562.0,13839.0,14315.0,14224.0,14719.0,14891.0,14976.0
Poland,Wheat,25135.0,29599.0,32007.0,28264.0,31355.0,28946.0,32551.0,27032.0,25957.0,29648.0,30734.0,33598.0,35220.0,34283.0,37045.0,37239.0,34802.0,38542.0,39575.0,38032.0,30635.0,33279.0,31817.0,36015.0,34574.0,32064.0,36243.0,35042.0,32268.0,35336.0,38539.0,34047.0,42811.0,39545.0,32447.0,39381.0,40716.0,41725.0,44290.0,41348.0,41438.0,44367.0
Portugal,Wheat,12145.0,12061.0,11763.0,13037.0,12921.0,8735.0,7084.0,8829.0,12205.0,9276.0,12004.0,9868.0,15952.0,13953.0,15814.0,16473.0,13768.0,19133.0,14269.0,20982.0,12914.0,16861.0,19667.0,13872.0,17139.0,11905.0,10151.0,15986.0,15678.0,8371.0,17904.0,8581.0,15625.0,6644.0,23847.0,18630.0,23028.0,17008.0,14305.0,12002.0,10766.0,17635.0
Qatar,Wheat,15000.0,17000.0,13333.0,8000.0,9333.0,12857.0,21875.0,21818.0,23519.0,23214.0,32278.0,26780.0,27031.0,23333.0,23636.0,23409.0,22958.0,23333.0,22996.0,23048.0,23088.0,23103.0,23065.0,22969.0,22881.0,23077.0,22951.0,23056.0,23056.0,23333.0,22727.0,23333.0,24444.0,23333.0,20000.0,23188.0,30000.0,23333.0,22500.0,23636.0,22857.0,22632.0
Republic of Korea,Wheat,23750.0,23080.0,20341.0,22176.0,22227.0,16844.0,20891.0,32070.0,32997.0,29011.0,33482.0,42213.0,26887.0,34257.0,29379.0,30235.0,32842.0,30797.0,30238.0,30955.0,33659.0,27112.0,37045.0,44386.0,39193.0,40441.0,34847.0,36699.0,25452.0,31049.0,32268.0,30512.0,33289.0,32058.0,33429.0,38128.0,40639.0,37067.0,31173.0,33484.0,39098.0,25852.0
Republic of Moldova,Wheat,,,,,,,,,,,,,,,,,,,,,32868.0,40260.0,21930.0,32427.0,20592.0,32794.0,26714.0,23423.0,19512.0,27133.0,25068.0,25261.0,27386.0,25989.0,23196.0,12925.0,31244.0,20988.0,22872.0,26376.0,15760.0,27551.0
Romania,Wheat,23939.0,23269.0,20890.0,20729.0,28087.0,28356.0,26712.0,21701.0,27909.0,25014.0,28399.0,22160.0,31305.0,23381.0,25112.0,28134.0,35942.0,33808.0,32351.0,25406.0,21950.0,23291.0,25435.0,30903.0,17645.0,30103.0,25963.0,27993.0,22996.0,30449.0,20580.0,17570.0,34775.0,29985.0,27737.0,16100.0,34222.0,24305.0,27000.0,36650.0,26593.0,34786.0
Russian Federation,Wheat,,,,,,,,,,,,,,,,,,,,,19030.0,17655.0,14498.0,13946.0,15449.0,18417.0,13594.0,15691.0,16144.0,20583.0,20681.0,17030.0,19823.0,19291.0,19492.0,21007.0,24459.0,23182.0,19181.0,22645.0,17727.0,22288.0
Rwanda,Wheat,8998.0,7212.0,8200.0,8424.0,8351.0,8560.0,6916.0,7532.0,7059.0,7713.0,9108.0,8462.0,8370.0,9988.0,10348.0,9220.0,10673.0,11556.0,11811.0,12333.0,11455.0,12000.0,11852.0,10442.0,11357.0,9557.0,7263.0,6974.0,6416.0,7694.0,6171.0,7653.0,7987.0,9083.0,8510.0,8948.0,10308.0,13846.0,12623.0,16364.0,17442.0,16279.0
Saudi Arabia,Wheat,10060.0,20446.0,18423.0,21262.0,12548.0,17404.0,20017.0,20907.0,21083.0,25473.0,27588.0,33358.0,34687.0,36344.0,40429.0,44021.0,44982.0,44239.0,46461.0,45030.0,44609.0,44886.0,45503.0,44720.0,43821.0,44497.0,44999.0,42526.0,42640.0,49081.0,48875.0,48849.0,53066.0,54175.0,56172.0,56844.0,60877.0,58833.0,61474.0,61429.0,59254.0,64333.0
Serbia,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34740.0,33327.0,42991.0,36423.0,33672.0,42114.0,39770.0,42592.0
Serbia and Montenegro,Wheat,,,,,,,,,,,,,,,,,,,,,31034.0,34089.0,35784.0,34171.0,25846.0,36409.0,37269.0,32870.0,29508.0,36563.0,32293.0,22772.0,43340.0,35626.0,,,,,,,,
Slovakia,Wheat,,,,,,,,,,,,,,,,,,,,,,38474.0,48518.0,44379.0,41302.0,45723.0,41726.0,40133.0,30952.0,40102.0,38302.0,30313.0,47988.0,43111.0,38461.0,38249.0,48693.0,40557.0,34646.0,44953.0,32856.0,45808.0
Slovenia,Wheat,,,,,,,,,,,,,,,,,,,,,41937.0,38430.0,43300.0,42300.0,39000.0,41557.0,48279.0,37087.0,42492.0,46036.0,48943.0,34543.0,45339.0,47005.0,41907.0,41616.0,45265.0,39643.0,48044.0,51770.0,54376.0,43528.0
Somalia,Wheat,,,,,,,,,,,,,,3611.0,3611.0,3703.0,3703.0,3684.0,3700.0,3667.0,3684.0,3700.0,3701.0,3708.0,3714.0,3724.0,3750.0,3722.0,3692.0,3654.0,3736.0,3763.0,3786.0,3871.0,3692.0,3785.0,3806.0,3834.0,3868.0,3901.0,4000.0,4000.0
South Africa,Wheat,8656.0,9240.0,8558.0,9744.0,11475.0,10279.0,8929.0,10967.0,9047.0,13002.0,12141.0,9808.0,12080.0,8538.0,11989.0,18033.0,18019.0,10906.0,10934.0,14916.0,17653.0,18454.0,17561.0,14507.0,20961.0,17575.0,25295.0,24137.0,25997.0,25708.0,25906.0,20680.0,20325.0,23665.0,27516.0,30142.0,28476.0,30475.0,25623.0,33157.0,37476.0,36993.0
Spain,Wheat,12718.0,12584.0,14330.0,16169.0,16003.0,14969.0,17464.0,16003.0,22379.0,12934.0,16568.0,16392.0,26249.0,26079.0,20776.0,26074.0,27852.0,23597.0,23789.0,24592.0,19426.0,24492.0,21843.0,14761.0,30016.0,22498.0,28424.0,20987.0,30997.0,23003.0,28347.0,29236.0,32628.0,17707.0,28755.0,35692.0,32483.0,27103.0,30498.0,34475.0,23718.0,36447.0
Sudan,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17297.0,19534.0
Sudan (former),Wheat,10249.0,14601.0,13352.0,10835.0,9021.0,10868.0,12610.0,6843.0,12112.0,11875.0,10275.0,18621.0,11156.0,16356.0,13161.0,13253.0,12562.0,14970.0,15857.0,14819.0,22111.0,13790.0,13287.0,16113.0,17698.0,19497.0,22941.0,12113.0,23266.0,25225.0,21385.0,19645.0,24167.0,24615.0,38320.0,28258.0,19458.0,16042.0,17935.0,15982.0,,
Sweden,Wheat,42162.0,45176.0,53041.0,48313.0,44668.0,40702.0,44891.0,41256.0,41455.0,47707.0,52611.0,51286.0,56337.0,48303.0,55661.0,47913.0,51762.0,61940.0,64494.0,58591.0,53249.0,58993.0,53403.0,59441.0,60597.0,59742.0,56494.0,60236.0,59066.0,59412.0,61487.0,54849.0,59798.0,63334.0,54627.0,62571.0,61087.0,60776.0,53966.0,53786.0,62379.0,57792.0
Switzerland,Wheat,42021.0,37852.0,46371.0,39593.0,43917.0,36212.0,45892.0,49140.0,43628.0,47030.0,49157.0,48924.0,62623.0,56688.0,50980.0,48457.0,60181.0,65735.0,56376.0,59471.0,55114.0,59382.0,54925.0,59798.0,66149.0,59787.0,61811.0,52609.0,59477.0,55116.0,56340.0,50550.0,61177.0,57316.0,58130.0,59803.0,60014.0,60214.0,57490.0,62952.0,57763.0,53834.0
Syrian Arab Republic,Wheat,13353.0,4021.0,10603.0,9160.0,11257.0,7968.0,10613.0,9134.0,15360.0,16629.0,12734.0,12493.0,9643.0,13548.0,17933.0,14001.0,18778.0,8232.0,15436.0,16864.0,22056.0,26182.0,23838.0,25457.0,25200.0,17214.0,23885.0,16790.0,18498.0,28178.0,28436.0,27355.0,24778.0,24523.0,27599.0,24231.0,14397.0,25754.0,19280.0,25366.0,22517.0,23158.0
Tajikistan,Wheat,,,,,,,,,,,,,,,,,,,,,9073.0,8513.0,8409.0,8882.0,8566.0,12687.0,11448.0,11486.0,11839.0,13098.0,17898.0,19716.0,19897.0,19603.0,19967.0,23500.0,19866.0,30343.0,30159.0,23359.0,26758.0,29735.0
Thailand,Wheat,,,,,,,,,,,,,,,11932.0,12500.0,5546.0,7254.0,6107.0,4861.0,6753.0,6167.0,7000.0,6782.0,6455.0,6852.0,6894.0,6931.0,6969.0,7010.0,7065.0,7388.0,7566.0,7757.0,7922.0,8083.0,8248.0,8483.0,8786.0,9134.0,8696.0,12500.0
Tunisia,Wheat,10158.0,9368.0,9021.0,9842.0,8100.0,7870.0,7928.0,6641.0,10188.0,12299.0,12829.0,6645.0,7904.0,13359.0,11667.0,14005.0,12470.0,7540.0,12721.0,17006.0,17030.0,13700.0,10694.0,12780.0,16151.0,11061.0,14248.0,14184.0,11727.0,20000.0,14144.0,21412.0,16634.0,16918.0,14941.0,18762.0,17174.0,21038.0,18923.0,20791.0,20203.0,14614.0
Turkey,Wheat,14096.0,11908.0,12579.0,15931.0,17859.0,17854.0,18034.0,18730.0,18484.0,18357.0,19424.0,17755.0,19187.0,18364.0,20342.0,20334.0,21861.0,17580.0,21227.0,21288.0,20405.0,21642.0,17975.0,19315.0,19852.0,20174.0,22564.0,19409.0,22928.0,20765.0,21006.0,20987.0,22658.0,23309.0,23595.0,21675.0,23451.0,25667.0,24400.0,27038.0,26723.0,28451.0
Turkmenistan,Wheat,,,,,,,,,,,,,,,,,,,,,19137.0,19577.0,25763.0,15904.0,7759.0,14252.0,24904.0,25097.0,24143.0,25143.0,31863.0,29259.0,31707.0,31489.0,35243.0,13000.0,11000.0,16000.0,17000.0,13619.0,12563.0,12157.0
USSR,Wheat,13819.0,16340.0,13218.0,10043.0,15309.0,13972.0,18053.0,14721.0,15053.0,12947.0,13925.0,14511.0,12722.0,14563.0,17767.0,16565.0,16402.0,18283.0,21148.0,15693.0,,,,,,,,,,,,,,,,,,,,,,
Uganda,Wheat,23000.0,23000.0,20000.0,23333.0,24121.0,20658.0,21061.0,16667.0,21250.0,20000.0,20000.0,24000.0,17500.0,20000.0,15541.0,21645.0,21667.0,22002.0,20000.0,18000.0,17600.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18333.0,17143.0,17500.0,17500.0,16667.0,16667.0,16667.0,18000.0,17273.0,17273.0,16667.0,16667.0,17692.0,14286.0,14286.0
Ukraine,Wheat,,,,,,,,,,,,,,,,,,,,,30926.0,37980.0,30745.0,29699.0,22993.0,28277.0,26479.0,22903.0,19756.0,31020.0,30455.0,29385.0,31661.0,28457.0,25308.0,23420.0,36698.0,30930.0,26816.0,33533.0,27999.0,33931.0
United Arab Emirates,Wheat,,,,,,11667.0,14667.0,22429.0,24096.0,20187.0,20000.0,14178.0,16134.0,13402.0,11857.0,11063.0,8083.0,19247.0,22165.0,15941.0,23154.0,8586.0,18554.0,17419.0,11948.0,51379.0,72000.0,41569.0,65000.0,35333.0,34118.0,25000.0,20000.0,20000.0,26000.0,30000.0,30000.0,30000.0,59184.0,46329.0,34932.0,33148.0
United Kingdom,Wheat,42412.0,43654.0,49712.0,43344.0,38505.0,49006.0,52526.0,52292.0,58782.0,58417.0,62057.0,63717.0,77205.0,63333.0,69659.0,59880.0,62142.0,67369.0,69712.0,72519.0,68194.0,73282.0,73520.0,76992.0,81315.0,73776.0,75542.0,80495.0,80075.0,70827.0,80028.0,77798.0,77754.0,79609.0,80361.0,72244.0,82814.0,79284.0,76746.0,77471.0,66571.0,73838.0
United Republic of Tanzania,Wheat,9638.0,15351.0,17826.0,12321.0,13061.0,19298.0,13462.0,15963.0,14063.0,18627.0,12789.0,15540.0,15958.0,16961.0,18137.0,18228.0,14153.0,16768.0,20381.0,16700.0,14555.0,13420.0,12090.0,13817.0,13957.0,13869.0,11217.0,14363.0,4561.0,17076.0,25106.0,27520.0,19488.0,28838.0,20667.0,10986.0,10046.0,5521.0,11429.0,10404.0,9915.0,9700.0
United States of America,Wheat,21983.0,21248.0,18333.0,20582.0,20375.0,20629.0,21136.0,22980.0,22513.0,23229.0,23859.0,26509.0,26073.0,25197.0,23167.0,25330.0,22913.0,22024.0,26567.0,23038.0,26433.0,25699.0,25270.0,24065.0,24389.0,26574.0,29034.0,28726.0,28238.0,27018.0,23567.0,29712.0,29026.0,28231.0,25986.0,27046.0,30175.0,29897.0,31167.0,29422.0,31154.0,31673.0
Uruguay,Wheat,10083.0,10482.0,12253.0,9999.0,9938.0,5390.0,7952.0,13623.0,13485.0,13107.0,15231.0,16565.0,15436.0,11627.0,12430.0,18425.0,23410.0,23920.0,18510.0,16135.0,23035.0,16018.0,25653.0,23359.0,25957.0,19843.0,28929.0,19537.0,25344.0,11488.0,15011.0,27698.0,29704.0,29583.0,31603.0,28420.0,28560.0,33583.0,32196.0,33979.0,21822.0,33177.0
Uzbekistan,Wheat,,,,,,,,,,,,,,,,,,,,,16625.0,13585.0,15150.0,21421.0,20635.0,21994.0,26334.0,26460.0,27174.0,31509.0,40410.0,37315.0,37457.0,42073.0,42108.0,44786.0,44771.0,49013.0,46000.0,45560.0,47095.0,47393.0
Venezuela (Bolivarian Republic of),Wheat,4431.0,4599.0,3981.0,3669.0,4052.0,3955.0,3809.0,3739.0,4009.0,3992.0,3731.0,3797.0,3670.0,3839.0,3502.0,3312.0,3340.0,3382.0,3444.0,3459.0,3765.0,4191.0,4832.0,3977.0,8709.0,12595.0,16453.0,20037.0,25749.0,27437.0,30000.0,29804.0,30000.0,29605.0,30137.0,30000.0,29870.0,29792.0,29942.0,30000.0,29863.0,29815.0
Yemen,Wheat,10227.0,11071.0,11195.0,12300.0,11770.0,11135.0,7867.0,10864.0,10000.0,11074.0,11481.0,6991.0,7646.0,10282.0,13378.0,15185.0,17344.0,17218.0,15826.0,11543.0,15652.0,16092.0,17035.0,16831.0,14096.0,12302.0,15034.0,16207.0,16246.0,16185.0,14740.0,11997.0,12323.0,13134.0,13474.0,15441.0,13846.0,18901.0,17843.0,18667.0,18095.0,16915.0
Yugoslav SFR,Wheat,25164.0,27996.0,34091.0,27271.0,34697.0,34889.0,31217.0,29601.0,33582.0,30808.0,33489.0,34338.0,38374.0,36051.0,35474.0,35681.0,41819.0,37847.0,42530.0,42661.0,,,,,,,,,,,,,,,,,,,,,,
Zambia,Wheat,9900.0,10000.0,29517.0,30481.0,49350.0,33590.0,33381.0,31086.0,40688.0,32875.0,38189.0,35926.0,37883.0,34312.0,49994.0,37404.0,42465.0,47219.0,43938.0,43841.0,41004.0,50737.0,52692.0,48705.0,55771.0,66221.0,56681.0,69777.0,62102.0,66667.0,62500.0,64286.0,61181.0,62104.0,54946.0,61511.0,99387.0,56991.0,63118.0,63068.0,68135.0,65435.0
Zimbabwe,Wheat,36783.0,38874.0,36311.0,38541.0,42441.0,38975.0,44988.0,43931.0,49722.0,49808.0,51335.0,57665.0,58611.0,54544.0,59130.0,57986.0,57091.0,56767.0,58211.0,58912.0,50893.0,57708.0,54649.0,50360.0,54999.0,56000.0,55000.0,55000.0,54000.0,53000.0,50000.0,30000.0,35000.0,35000.0,36000.0,29998.0,30097.0,30000.0,27788.0,26604.0,24902.0,23430.0
