Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,,,,,,,,,,,73.69055076,185.6483146,256.6294982,206.8869734,210.7142935,138.9112214,97.34288603,75.31402073,89.5869217,78.8378593,76.32286911,74.25851429,73.0975527,74.65317181,77.72393259,78.2014105,71.83418654,50.76368417,70.0927093,89.42223076,62.73472585,47.35569695,62.15317656,61.23521548,76.43869095,86.54866721,96.76478604,92.75889342,104.3547011,,,98.51012012,111.4403714,,,,,,,
Australia,AUS,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,12284.48873,9389.215875,20480.07334,10112.63191,13474.21852,18236.84287,28145.40549,28655.86546,18386.20463,29319.41095,33960.19847,17566.61197,29812.33263,18980.26206,21024.22162,36588.76408,27892.56441,9421.270891,20981.74076,23024.1855,28036.73165,32592.2623,27475.132,23301.7963,34771.88063,17753.03845,23491.53772,416602.5195,399200.2617,647291.291,520957.4473,654627.6309,531906.0898,439154.3438,542642.1855,314414.4609,536613.8945,425981.9629,283596.3613,482060.3353,189051.6916,181845.0876,164076.9229,,,,,,,
Austria,AUT,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,705.0245117,1033.036566,1091.845859,1184.457363,1036.321855,1097.459336,1133.055449,1202.178359,1303.891816,1377.231191,1362.786797,1380.055859,1330.763066,1420.485547,1836.066406,1895.026953,1959.251367,1463.340625,2279.431543,2383.703711,3282.750977,2867.760254,2710.005469,2610.069727,2736.936328,2773.808594,3501.287988,3284.090039,3659.156836,3621.490723,2054.851172,1228.379533,1192.552229,1211.115608,4384.519518,4668.976053,5516.694629,5404.124316,6010.321365,8358.35086,6919.826014,6014.721565,5304.626913,,,,,,,
Azerbaijan,AZE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-13911.53268,-13888.93938,-15049.06852,-15631.05724,-16211.34192,-13216.26913,-14138.4328,-14930.46935,-15752.46561,-16386.99115,-17059.79462,-14747.88406,-14913.89792,-15447.98115,-16318.58691,-16279.46616,-18170.73569,-20652.62349,-19615.18727,-20384.60674,10801.05991,13368.36334,,3839.657157,4310.193941,-356.6645496,1535.971044,1505.653575,3553.716114,2495.530858,2810.22442,2529.354467,1168.234063,1881.636187,2754.786074,2701.076029,2243.869793,-89.4450332,3551.57064,3328.114282,5143.545716,4360.61191,4671.884255,,,,,,,
Burundi,BDI,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-128.2959686,-118.8427318,-132.0965747,-123.3101465,-123.890274,-138.8503111,-111.943599,-119.8733708,-116.9338659,-143.2232742,-142.7354464,-124.8758067,-152.0524132,-123.9774746,-94.17082465,-100.509874,-92.10690576,-159.1823125,-106.3503156,-104.8113643,-13.34953556,-50.99146142,-80.61377539,-54.90927364,-127.3839183,-136.8255566,-114.0120234,-198.8003409,2983.756033,91.74012186,782.8540501,28.31921486,1617.482561,1745.895348,1742.637971,1620.528674,1795.751366,1578.34572,1692.823995,1772.812402,1684.562548,1710.190744,1737.912397,,,,,,,
Belgium,BEL,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-4456.85168,71.93245781,162.2303063,753.7324344,619.4726094,643.8106406,843.3140781,763.1362891,844.1381875,1061.076,932.7482813,906.8078906,311.2671484,535.422207,500.3180469,973.1117383,1209.848984,1034.624844,1014.620195,714.676582,717.3752266,520.5346094,812.9981406,861.1109531,619.4556719,2053.811438,2364.151156,2628.282094,2596.656445,2460.675195,2114.326953,2440.193359,3548.268945,3478.896387,3573.236523,3669.173242,4259.128125,4820.067187,6267.43125,10676.79728,9849.073637,20736.53464,21937.68838,,,,,,,
Benin,BEN,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,28812.87077,28159.97352,27873.38992,30056.98145,24030.45836,25524.61947,26131.49985,30389.92095,26143.62619,28368.49969,34776.20481,29399.2942,33775.02329,31624.1622,31494.3207,28854.95011,29117.91321,30344.43701,28242.17832,30507.2817,37946.07191,30718.59299,35423.95549,33058.01291,32922.54709,36374.3107,35450.82872,36124.25098,40549.89445,33932.90773,30868.77923,23685.13559,37111.76569,27535.16946,21671.24241,38476.19139,25069.08307,26032.20045,21064.39952,21054.38111,16372.58218,16290.88353,16260.33977,,,,,,,
Burkina Faso,BFA,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-178.780388,-170.364396,-224.8582142,-170.035318,-169.6450378,-222.9336422,-141.3627508,-155.6964114,-143.0716544,-163.4269581,-133.302621,-133.8069178,-144.2528382,-113.1818282,-94.65668099,-114.5061967,-47.1789359,-193.0602365,-100.3515967,-156.22234,-15.71205499,-95.35221971,-158.1935841,-129.8794308,-223.8069733,-249.9649884,-223.2981677,-83.85982117,29652.1961,26236.50286,30669.25887,24203.44902,33267.59609,26088.43196,24656.28686,28132.158,21027.14913,20936.29005,17873.52209,19868.6519,19409.33329,19368.75427,19322.76341,,,,,,,
Bangladesh,BGD,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,8461.326235,8526.615027,8566.611487,8598.216989,8782.108897,8801.209329,8897.515386,9204.350398,9250.775759,9293.712571,9390.661748,9426.884141,9535.282205,9629.43824,11700.83206,9725.517002,9828.04291,8522.959048,9717.577158,9824.93502,9932.507114,9940.384922,9581.588193,9425.98812,9464.680625,9634.096885,9699.709238,9731.14,-601.9572266,3657.871289,-74.56513672,901.4752539,-1053.220947,-1279.04773,-549.6143203,-2829.042645,-1903.713477,-1618.834082,-5675.411816,-8769.511456,-11411.24524,-9720.517105,-9405.990022,,,,,,,
Bulgaria,BGR,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-2149.176465,-2138.534473,-2172.206152,-2489.043164,-3151.564355,-3044.909375,-3239.093066,-3084.568457,47.87578125,583.3577148,534.9701953,441.5276563,-115.9592187,-292.4764062,-615.7463379,-407.0979004,-486.2508105,-1120.791367,14.24181641,8.5234375,1213.706855,49.68955664,-32.48845898,-922.5263086,-679.8644824,-2.302853516,-85.81489062,846.4043887,138.5756367,280.9121074,343.5018262,1374.248436,218.8738289,499.0277723,798.6674121,-23.64772734,317.2812422,-752.1850449,1588.232426,3397.951337,2867.036043,2878.652742,-1507.143645,,,,,,,
Bahrain,BHR,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,46.2023761,168.8249023,1507.163799,1281.091541,1454.857919,1435.080367,1509.075833,1500.770693,1519.736363,1567.033614,1570.250067,1621.920249,2112.671113,1302.432289,2185.453982,2159.32336,1917.871597,2153.716066,1899.882072,1933.578101,2242.813965,78.66774292,125.1044067,182.1531128,1.89697876,-16.72503357,-29.3960968,,,-54.72991028,,-118.8262177,-164.0687225,-131.1498566,3515.032855,4035.373148,5743.483267,,,7026.909874,8244.932116,8779.648807,9603.18478,,,,,,,
"Bahamas, The",BHS,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,666.2397224,,,,,,,,,,,2614.556819,2355.953552,2356.733967,2043.133321,1388.890872,997.280298,829.9929267,861.7324257,842.80509,816.8440315,757.649143,676.0597801,663.2169827,703.7235456,707.240415,692.2910815,474.2438175,728.7252163,800.3658464,570.9114181,429.7740929,517.0042165,488.9749678,622.6666288,793.1872796,855.8038959,755.9596419,874.8319543,819.8323038,777.9856266,642.725709,772.4569656,,,,,,,
Bosnia and Herzegovina,BIH,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,3161.130078,3400.33028,2668.275299,2885.765686,3623.749255,-566.7453613,-419.1587646,-210.684436,744.2239502,843.1268433,4435.927161,-4361.143823,-2935.568811,-1395.118518,-2087.137122,-1788.296252,-2876.720483,-1852.675537,1796.121704,-289.9809326,1022.507196,901.6549441,686.3056159,541.5937063,677.1691849,674.5917506,649.4720308,682.0207129,675.9296548,1195.684184,3920.508195,902.8891079,-875.8782337,-274.0878711,462.8115736,360.9990479,335.3639918,1014.553483,-1355.829931,-1165.772569,-523.3871791,-2596.611279,-1495.709203,,,,,,,
Belarus,BLR,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,44324.92373,44291.55283,44225.89365,43600.03662,43156.15977,45932.10801,47174.06094,48211.74023,49368.19385,50259.50439,51859.66973,50049.37625,47988.15064,45960.6543,44214.85936,42184.45725,39855.59391,39524.63633,45766.17656,46961.42016,38452.88945,41134.45848,42641.62297,40907.93014,41538.01256,40215.46188,39952.16875,40702.70811,-1166.181754,1999.215137,787.5843555,-41.337325,8228.15002,592.151207,-1787.683163,636.0613797,-42.96780859,3839.167668,5598.475753,7893.386131,7849.613085,12771.56241,12276.32179,,,,,,,
Belize,BLZ,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-90.11529183,-86.08466502,-100.8588735,-100.4817131,-106.0452313,-111.0589158,-86.7114245,-115.1006367,-127.2246422,-112.9856286,-148.3225755,39.30567406,40.54361147,85.97981942,69.22920188,-12.36751911,-67.26953462,-113.9794361,-158.6773585,-172.6557765,-166.1497693,-166.562125,-183.4502095,-189.1064431,-201.8101041,-181.3130623,-227.9721947,-287.7605167,29.94942041,156.318881,664.8747566,-108.1483513,607.2174775,2490.891791,28.86388741,904.5088036,144.8155408,639.8545524,254.3172913,306.9640223,131.5354409,169.9634665,194.9654225,,,,,,,
Bermuda,BMU,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,63.00507109,62.72866015,69.18653598,64.44074164,,76.40928299,,75.32915159,77.12559571,,68.12365767,327.5777295,363.9978021,545.0745084,477.7952099,257.2021493,134.6103429,97.21944407,134.2283517,142.1171183,79.58702608,65.06811336,42.74406368,46.71157401,47.99618682,45.60229981,35.70510805,,46.27000724,74.3213153,45.78942626,21.16276307,39.3803739,35.49104166,63.2712237,71.43653929,89.9012092,,,46.2669475,47.69335492,22.27559843,38.75926405,,,,,,,
Bolivia,BOL,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,140601.4243,98908.32246,119635.9949,100003.3259,107025.912,120666.497,139344.0611,107639.841,129766.4781,137121.7473,146029.3646,132456.3263,139672.8314,142348.239,112195.348,118432.7214,125794.6922,153379.5208,128733.747,129958.8121,149231.76,141373.488,149878.181,164146.9862,116704.4001,128623.566,133071.352,134330.3869,97034.13892,158722.2729,52098.93499,23814.44814,66378.18483,85497.62708,159154.7798,254030.6824,124797.7783,186636.9209,77099.72489,32557.09138,55426.75862,571919.4712,571836.8134,,,,,,,
Brazil,BRA,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,842173.4766,594544.5867,720044.1873,603518.1247,645415.7947,728692.0736,841514.5993,653738.6917,787376.8376,831776.0124,885050.4246,805651.2929,849106.0077,866006.8797,687466.5235,727147.3092,770917.3626,933248.6989,792279.2159,800860.0024,913902.1101,865631.2485,916464.1228,1003404.525,716430.8373,786356.6081,812287.3148,819051.0917,1384347.971,734052.418,377540.2305,390635.7383,678990.6133,671314.5781,937815.1953,1304112.027,667896.957,1726454.148,525785.1016,231242.2701,1831517.587,1834973.898,1845285.067,,,,,,,
Barbados,BRB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,57.7564089,57.13409131,54.90191472,56.2406956,51.88490165,50.15985699,56.93174978,60.50795878,74.74507104,79.45026087,81.94945816,300.8776217,317.1093312,448.9852573,395.6518242,302.4465943,196.8842398,102.2880052,73.94496384,47.0300267,39.06957016,33.53071426,30.62097641,31.43509662,20.2355563,2.698115204,-27.22109106,-52.26557462,-55.41310272,13.25561859,-82.13079315,-134.6940167,-83.17698517,,,,,,,,,,46.88873263,,,,,,,
